Trial,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,Pupated,Emerged
Control,14,18,8/10/17,F,8/21/17,0.3271,11,NA,NA,N,Y,Y
Control,14,23,8/10/17,F,8/21/17,0.3112,11,NA,NA,N,Y,Y
Control,14,30,8/10/17,F,8/21/17,0.3273,11,NA,NA,N,Y,Y
Control,14,34,8/10/17,F,8/22/17,0.3362,12,NA,NA,N,Y,Y
Control,14,35,8/10/17,F,8/21/17,0.3305,11,NA,NA,N,Y,Y
Control,14,37,8/10/17,F,8/22/17,0.3275,12,NA,NA,N,Y,Y
Control,14,42,8/10/17,F,8/21/17,0.3344,11,NA,NA,N,Y,Y
Control,14,46,8/10/17,F,8/21/17,0.3005,11,NA,NA,N,Y,Y
Control,14,50,8/10/17,F,8/22/17,0.3426,12,NA,NA,N,Y,Y
Control,14,52,8/10/17,F,8/21/17,0.3123,11,NA,NA,N,Y,Y
Control,14,56,8/10/17,F,8/21/17,0.3228,11,NA,NA,N,Y,Y
Control,14,57,8/10/17,F,8/21/17,0.3331,11,NA,NA,N,Y,Y
Control,14,59,8/10/17,F,8/21/17,0.3314,11,NA,NA,N,Y,Y
Control,14,61,8/10/17,F,8/22/17,0.332,12,NA,NA,N,Y,Y
Control,14,68,8/10/17,F,8/21/17,0.3084,11,NA,NA,N,Y,Y
Control,14,74,8/10/17,F,8/21/17,0.316,11,NA,NA,N,Y,Y
Control,14,75,8/10/17,F,8/21/17,0.3492,11,NA,NA,N,Y,Y
Control,14,76,8/10/17,F,8/22/17,0.2869,12,NA,NA,N,Y,Y
Control,14,80,8/10/17,F,8/22/17,0.329,12,NA,NA,N,Y,Y
Control,14,85,8/10/17,F,8/21/17,0.3115,11,NA,NA,N,Y,Y
Control,14,86,8/10/17,F,8/22/17,0.3558,12,NA,NA,N,Y,Y
Control,14,87,8/10/17,F,8/21/17,0.2981,11,NA,NA,N,Y,Y
Control,14,88,8/10/17,F,8/21/17,0.3445,11,NA,NA,N,Y,Y
Control,14,90,8/10/17,F,8/21/17,0.2822,11,NA,NA,N,Y,Y
Control,14,91,8/10/17,F,8/22/17,0.3329,12,NA,NA,N,Y,Y
Control,14,92,8/10/17,F,8/21/17,0.2916,11,NA,NA,N,Y,Y
Control,14,2,8/10/17,M,8/22/17,0.3836,12,NA,NA,N,Y,Y
Control,14,4,8/10/17,M,8/22/17,0.309,12,NA,NA,N,Y,Y
Control,14,5,8/10/17,M,8/22/17,0.308,12,NA,NA,N,Y,Y
Control,14,6,8/10/17,M,8/21/17,0.2955,11,NA,NA,N,Y,Y
